timestamp,episode,total_steps,termination_reason,ballast,road_temp,track_grip,wheels_out,offtrack_lapdist,offtrack_x,offtrack_y,stats_total_steps,ep_steps,ep_reward,lapdist,packages_lost,best_lap_reported,ep_bestLapTime,speed_mean,speed_max,max_abs_gap,ep_laps,dt_avg,dt_std,dt_min,dt_max,episode_wall_time,steps_per_episode,buffer_size,fps
2026-06-05 00:18:01.649,1,0,out_of_track,3.56,21.6,90.22,3.0,3918.476746417582,-555.95,180.38,418,415,5.7,3918.48,0,0.0,0.0,1.15,7.17,5.34,1,0.04,0.001,0.039,0.042,41.24,415,10617479,10.06
2026-06-05 00:18:42.937,2,418,out_of_track,39.93,42.43,88.98,3.0,3958.4527742383943,-579.12,213.61,1100,679,22.2,3958.45,0,0.0,0.0,2.72,14.14,8.79,1,0.04,0.001,0.036,0.045,51.75,679,10618158,13.12
2026-06-05 00:19:34.714,3,1100,out_of_track,45.66,48.71,92.19,3.0,3908.408772630355,-549.34,172.78,1323,220,2.7,3908.41,0,0.0,0.0,1.03,5.02,4.73,1,0.04,0.001,0.039,0.042,33.37,220,10618378,6.59
2026-06-05 00:20:08.092,4,1323,out_of_track,45.11,30.29,95.71,4.0,3908.520988730743,-535.99,183.17,1647,321,4.9,3908.52,0,0.0,0.0,1.26,8.44,12.2,1,0.04,0.001,0.039,0.042,37.44,321,10618699,8.57
2026-06-05 00:20:45.541,5,1647,out_of_track,18.44,49.44,96.36,3.0,159.78802920135422,-65.41,273.97,2763,1113,256.9,159.79,17,0.0,0.0,19.21,47.1,10.02,1,-0.006,1.565,-52.155,0.681,69.77,1113,10619812,15.95
2026-06-05 00:21:55.342,6,2763,low_speed,34.12,37.41,85.69,,,,,3291,525,42.1,4042.25,0,0.0,0.0,6.67,21.3,7.49,1,0.041,0.017,0.009,0.333,46.27,525,10620337,11.35
2026-06-05 00:22:41.616,7,3291,low_speed,13.79,32.26,85.32,,,,,3983,689,78.1,4149.77,0,0.0,0.0,9.43,27.09,8.96,1,0.04,0.001,0.039,0.042,52.2,689,10621026,13.2
2026-06-05 00:23:33.826,8,3983,low_speed,14.7,31.25,97.47,,,,,4379,393,10.8,3937.02,0,0.0,0.0,2.29,11.84,1.97,1,0.04,0.001,0.039,0.042,40.32,393,10621419,9.75
2026-06-05 00:24:14.147,9,4379,out_of_track,21.29,48.24,86.95,3.0,4149.322781574738,-527.39,381.18,4735,353,75.6,4149.32,0,0.0,0.0,17.79,27.5,9.97,1,0.04,0.001,0.039,0.042,38.7,353,10621772,9.12
2026-06-05 00:24:52.857,10,4735,out_of_track,34.72,45.92,86.86,3.0,871.4368444788852,530.7,-118.58,5826,1088,470.9,871.44,0,0.0,0.0,36.04,64.78,13.18,1,0.005,1.166,-38.415,0.042,68.11,1088,10622860,15.97
2026-06-05 00:26:00.995,11,5826,out_of_track,16.87,38.84,92.93,3.0,4183.314133173408,-538.48,412.89,6217,388,85.6,4183.31,0,0.0,0.0,18.33,28.26,4.94,1,0.04,0.001,0.039,0.042,40.13,388,10623248,9.67
2026-06-05 00:26:41.127,12,6217,out_of_track,13.41,35.84,85.43,3.0,871.1562358034644,531.31,-118.22,7226,1006,471.5,871.16,0,0.0,0.0,39.02,67.26,13.81,1,0.003,1.157,-36.645,0.042,64.83,1006,10624254,15.52
2026-06-05 00:27:45.988,13,7226,out_of_track,32.57,37.74,85.33,4.0,56.484525802309236,-144.38,342.07,7902,673,224.5,56.48,0,0.0,0.0,27.75,48.41,4.18,1,-0.014,1.398,-36.24,0.042,51.48,673,10624927,13.07
2026-06-05 00:28:37.478,14,7902,out_of_track,28.47,39.4,89.35,3.0,904.4262568348859,516.2,-154.68,8950,1045,479.5,904.43,0,0.0,0.0,38.2,65.5,7.7,1,0.005,1.117,-36.054,0.042,66.41,1045,10625972,15.74
